[ 2026-08-14 20:34:08,996 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-08-14 20:34:09,007 ] 107 dagshub - INFO - Accessing as Neerajkanoi
[ 2026-08-14 20:34:10,024 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/Neerajkanoi/Network_security "HTTP/1.1 200 OK"
[ 2026-08-14 20:34:11,035 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-08-14 20:34:11,037 ] 107 dagshub - INFO - Initialized MLflow to track repo "Neerajkanoi/Network_security"
[ 2026-08-14 20:34:11,037 ] 107 dagshub - INFO - Repository Neerajkanoi/Network_security initialized!
[ 2026-08-14 20:34:19,537 ] 42 root - INFO - Start data Ingestion
[ 2026-08-14 20:34:21,173 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-14 20:34:21,173 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-14 20:34:21,173 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-14 20:34:21,207 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-14 20:34:21,207 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/08_14_2026_20_34_06/data_ingestion/ingested/train.csv', test_file_path='Artifacts/08_14_2026_20_34_06/data_ingestion/ingested/test.csv')
[ 2026-08-14 20:34:21,211 ] 55 root - INFO - Initiate the data Validation
[ 2026-08-14 20:34:21,223 ] 32 root - INFO - Required number of columns:2
[ 2026-08-14 20:34:21,224 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-14 20:34:21,224 ] 32 root - INFO - Required number of columns:2
[ 2026-08-14 20:34:21,224 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-14 20:34:21,313 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-14 20:34:21,313 ] 65 root - INFO - Starting data transformation
[ 2026-08-14 20:34:21,322 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-14 20:34:21,322 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-14 20:34:21,339 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-14 20:34:21,342 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-14 20:34:21,342 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-14 20:34:21,344 ] 50 root - INFO - Exited the save_object method of MainUtils class
